nombre_pelicula;director;id_sala;id_cine;ts;precio
Customizable tangible policy;Sarah Green;741;222;2023-09-27 23:52:24.000;10000
Synergistic optimal ability;Judith Evans;337;957;2023-10-30 11:24:32.000;6000
Vision-oriented zero-defect synergy;Jerry Chapman;504;954;2023-10-27 04:48:33.000;4000
Automated systematic projection;Denise Sherman;855;456;2023-03-03 09:10:07.000;6000
Multi-layered asynchronous application;Lisa James;486;579;2023-07-21 16:53:41.000;6000
Open-source neutral service-desk;Lauren Ray;532;307;2022-10-10 15:19:15.000;6000
Centralized scalable moratorium;Joseph Mason;70;358;2024-04-30 07:34:36.000;6000
Pre-emptive incremental budgetary management;Mr. Jacob Hall;375;616;2023-06-25 09:04:43.000;4000
Profound global complexity;Alexa Romero;551;929;2024-02-23 09:22:37.000;4000
Synergized next generation functionalities;Joseph Smith;830;716;2023-03-27 22:09:54.000;4000
Devolved multi-tasking contingency;Robert Frazier;954;796;2024-06-20 21:12:44.000;6000
Centralized value-added budgetary management;Matthew Andrews;679;180;2023-12-15 23:50:45.000;4000
Synergistic fresh-thinking intranet;Abigail Owens;97;700;2024-06-26 08:20:53.000;10000
Expanded national project;Mary Brown;356;651;2022-07-20 10:37:33.000;4000
Upgradable even-keeled matrix;Randy Walter;650;564;2023-04-15 17:08:36.000;10000
Customer-focused user-facing capability;Tyler Morrison;786;621;2022-11-08 01:37:11.000;4000
Automated bifurcated pricing structure;Andrea Delgado;374;468;2024-04-09 18:04:30.000;6000
Team-oriented upward-trending database;Misty Sandoval;602;993;2023-05-28 18:08:33.000;6000
Future-proofed asynchronous interface;Travis Miles;617;478;2023-02-25 03:11:18.000;4000
Cross-group full-range matrices;Lindsey Bailey;857;163;2024-06-15 20:29:03.000;10000
Expanded zero-defect database;Nancy Dennis;710;870;2023-11-28 10:25:56.000;6000
Centralized secondary approach;Leslie Kim;252;646;2022-08-21 21:56:23.000;4000
Optional radical algorithm;Michelle Johnson;786;805;2024-02-10 15:30:21.000;4000
Upgradable optimal ability;Jason Newman;882;547;2023-10-01 05:56:54.000;4000
Enhanced foreground methodology;Laura Rocha;619;381;2023-08-12 04:15:14.000;10000
Polarized maximized toolset;John Castillo;72;112;2023-03-01 17:33:46.000;6000
Inverse tangible info-mediaries;Victoria Olson;155;573;2023-02-05 14:07:06.000;4000
Integrated analyzing data-warehouse;Christy Thomas;303;795;2022-08-16 23:50:29.000;4000
Diverse non-volatile focus group;Juan Martinez;683;102;2023-06-24 07:00:37.000;10000
Down-sized global complexity;Andrew Andrade;81;418;2023-09-14 14:00:26.000;6000
Optional zero administration circuit;Lisa Ward;308;947;2022-11-07 07:29:17.000;6000
Multi-channeled optimal migration;Thomas Blackburn;720;240;2023-05-14 11:44:57.000;10000
Ergonomic systematic task-force;Sean Watson;279;620;2022-10-17 21:42:54.000;4000
Configurable hybrid knowledgebase;Beverly Robinson;99;424;2024-05-04 04:44:54.000;4000
Ergonomic systematic task-force;Sean Watson;618;53;2024-03-30 08:18:50.000;10000
Phased content-based knowledge user;Crystal Carrillo;467;477;2023-07-22 11:24:47.000;10000
Devolved zero tolerance firmware;Mark Wilcox;423;71;2024-06-01 14:20:38.000;10000
Reduced radical encryption;Stacie Gonzales;5;646;2022-10-15 09:43:14.000;4000
Reactive impactful moderator;Jack Evans;137;176;2023-08-23 05:21:03.000;4000
Exclusive holistic collaboration;Laura Day;155;573;2022-09-26 19:10:47.000;10000
Inverse 3rdgeneration utilization;Patricia Crosby;32;587;2022-10-02 21:07:57.000;4000
Operative non-volatile application;Paula Henderson;4;566;2023-07-31 00:12:05.000;10000
Organized mobile groupware;Mary Castaneda;120;61;2022-09-26 08:42:44.000;4000
Synergized content-based challenge;Patricia Brown;388;203;2022-12-06 13:48:40.000;10000
Reduced impactful implementation;Daniel Simmons;953;655;2023-04-23 11:30:29.000;10000
Operative radical neural-net;Catherine Clark;406;639;2022-07-30 01:09:21.000;10000
Universal multimedia knowledgebase;Rebekah Salazar;293;471;2024-02-20 17:44:58.000;6000
Stand-alone system-worthy hardware;Kimberly Malone;766;896;2023-08-13 03:02:49.000;4000
Profound global complexity;Alexa Romero;324;680;2023-11-05 07:35:38.000;10000
Profound asymmetric secured line;Kimberly Brown;800;422;2022-10-01 04:31:53.000;10000
Exclusive mission-critical structure;Gabriel Rice;481;94;2023-10-24 20:07:49.000;6000
Compatible attitude-oriented circuit;William Ochoa;444;614;2022-08-25 23:15:13.000;10000
Multi-lateral client-driven process improvement;Mr. Ricardo Dickerson;762;243;2022-10-25 12:03:21.000;6000
Intuitive 24/7 orchestration;Janice Berg;887;909;2024-05-22 18:25:33.000;10000
Proactive object-oriented customer loyalty;Craig Williams;861;184;2024-01-06 23:08:01.000;6000
User-centric intermediate analyzer;Stephanie Martinez;357;200;2023-04-06 13:39:39.000;6000
Synergized even-keeled definition;Barbara Cochran;963;648;2023-05-23 17:27:34.000;6000
Ameliorated tertiary info-mediaries;Thomas Herring;976;462;2024-04-06 04:24:43.000;4000
Balanced eco-centric encoding;James Williams;422;510;2024-02-04 01:05:57.000;4000
Organized high-level strategy;Nicole Vasquez;61;202;2023-12-17 15:38:00.000;6000
Focused exuding customer loyalty;Jennifer Solis;889;755;2023-10-19 10:22:48.000;6000
Cross-platform explicit workforce;Kristin Roberts;676;881;2023-07-27 02:41:29.000;10000
Visionary cohesive artificial intelligence;Todd Wilson;381;158;2023-10-08 07:37:43.000;10000
Secured intermediate support;Jennifer Blackburn;954;4;2023-05-30 13:03:09.000;6000
Innovative eco-centric artificial intelligence;Jason Lewis;482;936;2022-11-18 02:38:28.000;4000
Cloned asymmetric middleware;Jonathan Garcia;716;87;2023-07-15 12:30:19.000;4000
Proactive leadingedge frame;Jonathan Brooks;495;216;2023-01-08 04:57:06.000;6000
Synergized contextually-based portal;Katelyn Gordon;248;770;2023-01-23 16:12:47.000;4000
Optimized holistic groupware;Joshua Davis;600;77;2023-05-30 09:55:10.000;4000
Phased coherent utilization;Tammy Reid;943;346;2024-03-04 17:38:11.000;6000
Self-enabling responsive installation;Sarah Navarro;373;473;2022-09-02 04:51:30.000;10000
Reduced responsive pricing structure;Joseph Ramos;541;993;2023-05-11 01:51:41.000;6000
Pre-emptive clear-thinking throughput;Veronica Kirby;930;778;2022-08-31 04:44:15.000;4000
Customer-focused human-resource firmware;Christopher Bauer Jr.;561;913;2022-09-04 10:43:06.000;6000
Extended full-range monitoring;Laurie Foster;998;206;2022-07-15 06:08:00.000;4000
Customer-focused uniform superstructure;Tina Moore;183;936;2023-11-28 08:22:39.000;4000
Implemented real-time concept;Emily Montoya;836;177;2023-12-02 16:19:09.000;10000
Reverse-engineered intermediate Internet solution;Logan Roberts MD;858;842;2024-01-23 02:49:43.000;6000
Quality-focused user-facing Internet solution;Christopher Hogan;240;714;2023-07-27 21:48:51.000;4000
Advanced user-facing open architecture;Lydia Daniel;571;717;2024-03-16 15:54:06.000;6000
Cloned web-enabled service-desk;Michael Reyes;510;807;2022-12-14 18:32:56.000;4000
Compatible real-time intranet;Julia Carney DDS;881;111;2023-05-03 02:45:35.000;10000
Realigned grid-enabled structure;Bruce White;188;408;2024-04-29 08:59:27.000;4000
Phased global neural-net;Ashley Wallace;14;843;2022-08-07 06:08:23.000;10000
Up-sized regional open system;Samantha Murphy;409;692;2023-01-14 09:44:40.000;6000
Optimized holistic groupware;Joshua Davis;789;390;2023-02-23 21:29:36.000;4000
Implemented systemic solution;Jasmine Palmer;512;87;2022-08-21 11:21:10.000;4000
Down-sized global complexity;Andrew Andrade;857;163;2023-02-07 20:56:56.000;6000
Operative tangible focus group;Amanda Edwards;472;521;2023-12-30 11:07:54.000;4000
Inverse multi-state solution;Jaime Paul;582;342;2022-11-28 07:45:28.000;10000
Ameliorated executive budgetary management;Jessica Smith;257;473;2023-07-24 13:26:51.000;4000
Open-source optimizing parallelism;Brandy Thompson;67;609;2022-07-09 11:48:00.000;4000
Assimilated regional concept;Aaron Harrison;501;643;2023-10-05 19:51:31.000;6000
Organic analyzing Internet solution;Clifford Flores;976;5;2023-06-05 12:35:54.000;4000
Persistent bandwidth-monitored focus group;Stacey Daniel;260;463;2023-06-27 19:28:02.000;10000
Quality-focused user-facing Internet solution;Christopher Hogan;3;162;2023-06-27 09:20:35.000;4000
Mandatory solution-oriented knowledge user;Amy Brown;829;668;2023-11-05 16:07:09.000;10000
Centralized secondary approach;Leslie Kim;375;616;2023-06-26 13:22:08.000;6000
Focused eco-centric ability;Melinda Jones;634;919;2024-01-06 07:57:03.000;10000
Automated bi-directional moratorium;Alan Callahan;248;813;2023-01-05 22:59:43.000;4000
Triple-buffered foreground groupware;Cameron Christian;775;148;2023-07-20 00:22:12.000;6000
Customizable object-oriented architecture;Wendy Mendoza;639;701;2022-09-15 00:07:15.000;10000
Diverse next generation encryption;Amber Moore;826;637;2023-05-06 10:50:04.000;6000
Ameliorated client-server migration;Jessica Bailey;720;240;2022-11-26 16:18:46.000;4000
Ergonomic contextually-based capacity;Lawrence Dunn;753;996;2024-03-16 04:39:08.000;10000
Automated optimizing policy;James Rodriguez DDS;459;7;2022-09-17 09:49:05.000;10000
Centralized optimizing interface;James Williams;786;169;2024-04-05 01:42:58.000;6000
Configurable optimizing neural-net;Bobby Nguyen;639;410;2023-08-24 09:56:01.000;10000
Switchable intermediate website;David Cohen;727;983;2022-12-17 02:29:07.000;4000
Adaptive next generation support;Bryce Carr;478;833;2022-12-06 07:25:58.000;10000
Switchable intermediate website;David Cohen;986;65;2024-06-14 11:43:25.000;4000
Optimized user-facing knowledgebase;Theodore Orr;3;162;2022-12-29 11:50:14.000;10000
Customer-focused uniform superstructure;Tina Moore;860;165;2023-11-27 02:38:10.000;6000
Horizontal modular extranet;Dawn Hill;28;21;2023-03-12 16:41:40.000;10000
User-friendly intangible encoding;Jose Smith;383;883;2023-11-23 05:18:31.000;4000
Cross-platform user-facing circuit;Diana Sanchez;220;354;2023-04-06 10:02:45.000;10000
Progressive full-range core;Kelly Hudson;489;268;2023-11-13 05:54:41.000;6000
Business-focused 24hour moderator;Cynthia Harris;450;973;2024-03-15 17:40:04.000;6000
Re-contextualized full-range project;Theresa Estrada;858;842;2022-08-25 18:57:36.000;10000
Public-key intermediate focus group;Mark Escobar;532;307;2023-04-16 20:24:45.000;6000
Cross-platform radical projection;David Taylor;90;354;2023-02-21 15:09:05.000;10000
Enhanced clear-thinking benchmark;Mark Ramirez;991;870;2024-06-13 04:23:16.000;6000
Triple-buffered static Local Area Network;Daryl Hansen Jr.;799;924;2023-10-24 04:58:06.000;6000
Open-architected coherent implementation;Michael Tucker;628;329;2022-11-25 18:11:53.000;10000
Expanded clear-thinking structure;James Parker;830;716;2023-04-19 00:16:51.000;6000
Quality-focused clear-thinking alliance;James Ho;87;21;2023-12-16 16:11:34.000;6000
Compatible tertiary concept;Alexis Hill;689;924;2024-06-18 08:42:58.000;10000
Compatible foreground service-desk;Andrea Brooks;360;581;2023-04-10 18:35:39.000;4000
User-friendly intangible encoding;Jose Smith;80;268;2022-11-28 03:10:11.000;4000
Monitored asynchronous Graphic Interface;Curtis Gordon;357;200;2023-03-13 07:44:19.000;10000
Robust eco-centric artificial intelligence;John King;356;651;2023-10-30 00:53:54.000;6000
Optional 24/7 circuit;Kimberly Singh;297;575;2023-02-16 11:58:45.000;10000
Persevering user-facing open system;Jeffery Dennis;139;392;2022-12-07 03:11:35.000;10000
Focused eco-centric ability;Melinda Jones;131;971;2023-07-08 12:56:55.000;6000
Ergonomic system-worthy website;Troy Wang;499;325;2023-08-18 19:49:01.000;6000
Open-architected needs-based utilization;Levi Nguyen;858;86;2022-09-08 14:30:18.000;10000
Open-source 6thgeneration algorithm;Leslie Sandoval;677;272;2022-11-09 08:54:30.000;4000
Reduced radical moderator;Virginia Galvan;109;123;2023-02-16 21:23:07.000;10000
Universal multimedia knowledgebase;Rebekah Salazar;998;380;2024-04-08 04:12:16.000;10000
Optional 24/7 circuit;Kimberly Singh;800;422;2023-09-28 16:43:28.000;6000
Focused systemic task-force;Amber Camacho;346;736;2022-11-05 10:31:39.000;6000
Reverse-engineered content-based strategy;Stephen Griffin;599;950;2023-07-04 16:56:54.000;10000
Cloned directional projection;Robert Fry;413;180;2023-01-19 23:43:37.000;4000
Right-sized dedicated middleware;Rebecca Villa;394;962;2022-10-09 15:30:59.000;10000
Mandatory uniform adapter;Anna Taylor;132;32;2022-10-24 21:06:17.000;10000
Versatile secondary moderator;Gregory Garrett;281;873;2022-12-07 13:56:54.000;6000
Ergonomic value-added open system;Candace Whitaker;877;853;2023-03-17 21:59:41.000;4000
Programmable clear-thinking Local Area Network;Jerry Farmer;399;501;2023-05-13 16:46:41.000;10000
Pre-emptive leadingedge conglomeration;Sandra Pugh;634;919;2024-05-28 12:14:43.000;4000
Exclusive zero administration complexity;Ricardo Weeks;41;971;2024-01-02 13:33:01.000;6000
Right-sized incremental workforce;Shaun Cummings;948;213;2023-01-03 15:45:43.000;4000
Devolved national paradigm;Ricardo Levy;786;169;2022-12-16 03:13:47.000;4000
Enhanced local concept;Jesse Gates;341;934;2024-01-16 16:12:30.000;4000
Robust eco-centric artificial intelligence;John King;520;738;2023-11-27 11:30:13.000;4000
Ergonomic encompassing functionalities;Samantha Mccoy DDS;763;98;2022-10-23 21:47:10.000;4000
Open-architected maximized paradigm;Aaron Lam;124;506;2023-12-20 12:40:24.000;4000
Innovative background neural-net;Joseph Sanchez;271;47;2023-11-23 11:04:38.000;10000
Configurable analyzing array;Jonathan Williams;282;839;2022-10-11 14:01:05.000;6000
Centralized value-added budgetary management;Matthew Andrews;830;242;2022-10-19 10:30:05.000;10000
Exclusive eco-centric customer loyalty;Brian Roth;720;240;2022-08-11 17:10:41.000;6000
Polarized upward-trending matrix;Stephen Sweeney;826;226;2023-12-12 21:36:57.000;6000
Versatile background workforce;Stanley Harris;555;672;2023-08-14 07:58:50.000;10000
Pre-emptive clear-thinking throughput;Veronica Kirby;54;959;2022-11-29 04:06:53.000;6000
